,,,,,,,,,,,,,,,,
,,1,2,3,4,8,9,10,11,12,13,14,15,16,17,19
,,"(7,)","(4,3)","(4,2,1L)","(4,1S,1S,1L)","(2,2,3)","(2,1S,1S,3)","(1S,1S,2,3)","(1S,1S,1S,1S,3)","(2,2,2,1L)","(2,1S,1S,2,1L)","(1S,1S,2,2,1L)","(2,1S,1S,1S,1S,1L)","(1S,1S,2,1S,1S,1L)","(1S,1S,1S,1S,2,1L)","(1S,1S,1S,1S,1S,1S,1L)"
1,"(7,)",,"SPLIT 7 -> (4,3)","SPLIT 7 -> (4,2,1L)","SPLIT 7 -> (4,1S,1S,1L)","SPLIT 7 -> (2,2,3)","SPLIT 7 -> (2,1S,1S,3)","SPLIT 7 -> (1S,1S,2,3)","SPLIT 7 -> (1S,1S,1S,1S,3)","SPLIT 7 -> (2,2,2,1L)","SPLIT 7 -> (2,1S,1S,2,1L)","SPLIT 7 -> (1S,1S,2,2,1L)","SPLIT 7 -> (2,1S,1S,1S,1S,1L)","SPLIT 7 -> (1S,1S,2,1S,1S,1L)","SPLIT 7 -> (1S,1S,1S,1S,2,1L)","SPLIT 7 -> (1S,1S,1S,1S,1S,1S,1L)"
2,"(4,3)","MERGE (4,3) -> 7",,"SPLIT 3 -> (2,1L)","SPLIT 3 -> (1S,1S,1L)","SPLIT 4 -> (2,2)","SPLIT 4 -> (2,1S,1S)","SPLIT 4 -> (1S,1S,2)","SPLIT 4 -> (1S,1S,1S,1S)",,,,,,,
3,"(4,2,1L)","MERGE (4,2,1L) -> 7","MERGE (2,1L) -> 3",,"SPLIT 2 -> (1S,1S)",,,,,"SPLIT 4 -> (2,2)","SPLIT 4 -> (2,1S,1S)","SPLIT 4 -> (1S,1S,2)",,,"SPLIT 4 -> (1S,1S,1S,1S)",
4,"(4,1S,1S,1L)","MERGE (4,1S,1S,1L) -> 7","MERGE (1S,1S,1L) -> 3","MERGE (1S,1S) -> 2",,,,,,,,,"SPLIT 4 -> (2,1S,1S)","SPLIT 4 -> (1S,1S,2)",,"SPLIT 4 -> (1S,1S,1S,1S)"
8,"(2,2,3)","MERGE (2,2,3) -> 7","MERGE (2,2) -> 4",,,,"SPLIT 2 -> (1S,1S)","SPLIT 2 -> (1S,1S)",,"SPLIT 3 -> (2,1L)",,,,,,
9,"(2,1S,1S,3)","MERGE (2,1S,1S,3) -> 7","MERGE (2,1S,1S) -> 4",,,"MERGE (1S,1S) -> 2",,,"SPLIT 2 -> (1S,1S)",,"SPLIT 3 -> (2,1L)",,"SPLIT 3 -> (1S,1S,1L)",,,
10,"(1S,1S,2,3)","MERGE (1S,1S,2,3) -> 7","MERGE (1S,1S,2) -> 4",,,"MERGE (1S,1S) -> 2",,,"SPLIT 2 -> (1S,1S)",,,"SPLIT 3 -> (2,1L)",,"SPLIT 3 -> (1S,1S,1L)",,
11,"(1S,1S,1S,1S,3)","MERGE (1S,1S,1S,1S,3) -> 7","MERGE (1S,1S,1S,1S) -> 4",,,,"MERGE (1S,1S) -> 2","MERGE (1S,1S) -> 2",,,,,,,"SPLIT 3 -> (2,1L)","SPLIT 3 -> (1S,1S,1L)"
12,"(2,2,2,1L)","MERGE (2,2,2,1L) -> 7",,"MERGE (2,2) -> 4",,"MERGE (2,1L) -> 3",,,,,"SPLIT 2 -> (1S,1S)","SPLIT 2 -> (1S,1S)",,,,
13,"(2,1S,1S,2,1L)","MERGE (2,1S,1S,2,1L) -> 7",,"MERGE (2,1S,1S) -> 4",,,"MERGE (2,1L) -> 3",,,"MERGE (1S,1S) -> 2",,,"SPLIT 2 -> (1S,1S)",,"SPLIT 2 -> (1S,1S)",
14,"(1S,1S,2,2,1L)","MERGE (1S,1S,2,2,1L) -> 7",,"MERGE (1S,1S,2) -> 4",,,,"MERGE (2,1L) -> 3",,"MERGE (1S,1S) -> 2",,,,"SPLIT 2 -> (1S,1S)","SPLIT 2 -> (1S,1S)",
15,"(2,1S,1S,1S,1S,1L)","MERGE (2,1S,1S,1S,1S,1L) -> 7",,,"MERGE (2,1S,1S) -> 4",,"MERGE (1S,1S,1L) -> 3",,,,"MERGE (1S,1S) -> 2",,,,,"SPLIT 2 -> (1S,1S)"
16,"(1S,1S,2,1S,1S,1L)","MERGE (1S,1S,2,1S,1S,1L) -> 7",,,"MERGE (1S,1S,2) -> 4",,,"MERGE (1S,1S,1L) -> 3",,,,"MERGE (1S,1S) -> 2",,,,"SPLIT 2 -> (1S,1S)"
17,"(1S,1S,1S,1S,2,1L)","MERGE (1S,1S,1S,1S,2,1L) -> 7",,"MERGE (1S,1S,1S,1S) -> 4",,,,,"MERGE (2,1L) -> 3",,"MERGE (1S,1S) -> 2","MERGE (1S,1S) -> 2",,,,"SPLIT 2 -> (1S,1S)"
19,"(1S,1S,1S,1S,1S,1S,1L)","MERGE (1S,1S,1S,1S,1S,1S,1L) -> 7",,,"MERGE (1S,1S,1S,1S) -> 4",,,,"MERGE (1S,1S,1L) -> 3",,,,"MERGE (1S,1S) -> 2","MERGE (1S,1S) -> 2","MERGE (1S,1S) -> 2",